,0,1,2
0,27494.221747637468,-2995.0283610657457,423.5039779904647
1,546.2225951913484,-934.9931654411934,-530.6366304913025
2,42580.41360407566,-700.9758162391188,404.085455600703
3,-40928.78686427753,410.3022466392939,557.4080703415586
4,69169.5874184365,1417.8758448514518,675.9221189385934
5,-37779.48822268612,4870.992122070912,387.94223848776016
6,125992.99452199803,-4670.767417265204,-751.9746398789123
7,19066.9519933844,-773.1423432769925,699.2380003492048
8,-51137.25753366509,-2676.660343516171,691.8795922971415
9,-62991.92832488728,-978.3580946474663,-431.6798994510498
10,-51371.76522031255,2411.454003167328,-476.38538135546247
11,164035.9599850943,-4113.35080610145,451.6369852401959
12,-36821.52992661738,3689.803126580981,-555.5913893633651
13,98526.70748943363,-3180.16710141135,-664.535672097107
14,-23895.340944130312,1209.373234783111,-374.8647960125562
15,-49044.67368787019,-2751.656444179166,-374.9316453058497
16,-31881.359940522732,1797.8823811084803,-302.14055459071966
17,-90859.48311270207,3335.774498565217,37.92803830841005
18,-21804.348427509725,3912.8907417702876,-465.54041723410205
19,-41997.10823227177,-1542.7766075164795,-272.3167432907116
20,144425.292480247,-1160.4594877968918,663.1996072672748
21,-41603.25331772607,-1669.4287099236706,-327.12173798947657
22,49027.05556256495,-2419.971074188776,-388.8182096386361
23,-51206.350962005534,-4573.677616255944,-464.025795622157
24,-26985.94535667549,-1361.9896966356116,-595.5590319039816
25,75461.663845866,1177.9532832731973,-539.282203023116
26,-46210.35373894756,-1764.2007524274795,-515.1564841288765
27,125040.36581188237,-3244.2138642887203,-706.825129687211
28,26759.398145188432,4910.898366570445,-480.92189326165857
29,-112503.73513938069,-413.5407998249696,-285.97381832165325
30,-140911.22818649278,2724.707486132452,689.2363702810454
31,-31620.998893935837,-907.7872498774245,-313.34751787626385
32,-1004.0450733504877,566.0805271337769,-412.22752461817487
33,-15409.562468105169,559.7086839620927,-332.34375873426757
34,96416.04340012971,-6448.778626226015,-666.9559607817539
35,128108.04317971056,-1408.6705711505551,838.877641191279
36,-35891.58185996554,1550.2924115272365,-355.7090913706157
37,-27972.728901569342,-1042.5858546102418,-442.31712077603464
38,-71969.64467553927,-173.53899627300825,-413.6822516321174
39,-99015.635119417,-1146.0413371559348,-88.99110538951324
40,-20972.702756460298,-1152.724911619228,-358.40761494593954
41,-10701.70517005577,6753.102605940675,-485.59048210249364
42,-36948.641940381414,-95.62821119750716,-500.67733984755176
43,-50690.21132117151,388.7663202091642,-473.11475756363427
44,-39988.28050850673,-1225.389468922508,-538.4996328314938
45,138804.2917004642,-7529.538993502361,-748.8187884593495
46,58812.237202507895,330.9862093946849,211.42817027048298
47,68759.88846785469,-1731.691598555845,-510.4999234844795
48,-68086.63548917006,-3773.8411015032234,567.5881534421854
49,-53987.003037320006,-959.2599072028888,-409.4459043708858
50,-3806.6971019581865,3480.2228490828857,284.2402968637071
51,-66528.96414968156,-2040.6353729981213,-37.53394384390841
52,-70953.28282518477,340.2058544255573,-433.09790469933625
53,205299.8421735897,32869.011360827775,-975.4729236072209
54,-51005.47983512332,-1665.993801651808,-222.6488156578981
55,-432.6108205915171,-325.3205642893858,-403.38128011688275
56,-8679.190392996772,-7584.6495289065115,471.60175114805156
57,15608.637182603428,602.0481555784357,524.2834449127375
58,257825.7319457043,-5509.5973778557745,764.58290584407
59,-56105.43505540517,-1433.7749009530594,-555.7292123179687
60,-22824.87959822048,3324.2156095987066,-512.4443622148207
61,-79990.56335622711,-629.1174172920784,294.57801618057573
62,21429.005356943882,-4797.5025858856425,-446.08425933526524
63,-40903.7495299629,1159.448510663021,662.0378311521697
64,38522.267522649025,-2437.6251719204906,618.7964948286544
65,135975.14453512095,-5502.26180042718,835.9687847534062
66,-599.7540595836355,9419.686029323235,-205.29428585035814
67,45058.128122916925,-1366.0904947161864,-567.0190038324333
68,-101065.93571276731,-2513.0789276915966,-223.16759332285562
69,44228.801203031115,3593.5382096291974,704.2128815341993
70,63154.4854162037,1019.3152425019794,-362.5911874117896
71,-51493.62827092517,-1189.3849241248006,-407.9947811956686
72,4065.4004063022408,-513.6369900014563,557.6398359310025
73,-36014.297240038606,895.6395922828311,-544.2143161162192
74,-73636.40369441523,-2249.983944104657,744.5115334455317
75,-90173.03710463406,-5893.910452205749,167.79954093143533
76,-45217.96756115798,-521.3574734326231,-513.3712446818373
77,-53955.284431168715,-66.3228286151762,-101.07074456819596
78,-44384.79596372358,1761.8320929406834,-93.52938439398832
79,-70884.41042763239,2306.1155365291393,355.9867162422838
80,12659.742125065983,2060.7128049388,689.3132831530493
81,-27607.390916422464,-5088.779212124294,-285.5117411961749
82,64032.176154804234,-2463.8643243688116,-608.2846597163914
83,-54447.28444020002,206.29967701188573,-294.94740634634354
84,-12480.825029574951,-1568.2302948266379,507.09291119192085
85,79225.51332114464,2881.050129984909,800.2227999974242
86,-6870.107030483601,1623.0241495797713,565.5125996631751
